Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"135,00","135,00","135,00","135,00","0,00","678,00","91.530,00","91.530,00"
07.11.2024,"135,00","135,00","135,00","135,00","1,76","988,00","133.380,00","133.380,00"
06.11.2024,"132,00","133,00","132,00","132,66","-1,73","623,00","82.646,00","82.646,00"
05.11.2024,"135,00",nan,nan,"135,00","0,00","0,00","0,00","0,00"
04.11.2024,"135,00",nan,nan,"135,00","0,00","0,00","0,00","0,00"
01.11.2024,"135,00","135,00","135,00","135,00","0,00","850,00","114.750,00","114.750,00"
31.10.2024,"135,00",nan,nan,"135,00","0,00","0,00","0,00","0,00"
30.10.2024,"135,00",nan,nan,"135,00","0,00","0,00","0,00","0,00"
29.10.2024,"135,00","135,00","135,00","135,00","0,00","927,00","125.145,00","125.145,00"
28.10.2024,"135,00",nan,nan,"135,00","0,00","0,00","0,00","0,00"
25.10.2024,"135,00","135,00","135,00","135,00","0,00","2.513,00","339.255,00","339.255,00"
24.10.2024,"135,00","135,00","135,00","135,00","1,50","950,00","128.250,00","128.250,00"
22.10.2024,"133,00","133,00","133,00","133,00","-1,48","90,00","11.970,00","11.970,00"
21.10.2024,"135,00",nan,nan,"135,00","0,00","0,00","0,00","0,00"
18.10.2024,"135,00",nan,nan,"135,00","0,00","0,00","0,00","0,00"
17.10.2024,"135,00","135,00","135,00","135,00","-0,47","1.000,00","135.000,00","135.000,00"
16.10.2024,"135,00",nan,nan,"135,64","0,00","0,00","0,00","0,00"
15.10.2024,"135,00",nan,nan,"135,64","0,00","0,00","0,00","0,00"
14.10.2024,"135,00",nan,nan,"135,64","0,00","0,00","0,00","0,00"
10.10.2024,"135,00",nan,nan,"135,64","0,00","0,00","0,00","0,00"
09.10.2024,"135,00","136,00","135,00","135,64","-0,26","700,00","94.950,00","94.950,00"
08.10.2024,"136,00",nan,nan,"136,00","0,00","0,00","0,00","0,00"
07.10.2024,"136,00","136,00","136,00","136,00","0,00","250,00","34.000,00","34.000,00"
04.10.2024,"136,00",nan,nan,"136,00","0,00","0,00","0,00","0,00"
03.10.2024,"136,00","136,00","136,00","136,00","-1,90","100,00","13.600,00","13.600,00"
02.10.2024,"140,00","140,00","137,00","138,63","-0,98","1.835,00","254.395,00","254.395,00"
01.10.2024,"140,00","140,00","140,00","140,00","3,70","300,00","42.000,00","42.000,00"
30.09.2024,"135,00",nan,nan,"135,00","0,00","0,00","0,00","0,00"
